Distribution,Operation,BatchSize,Strategy,MedianTime_us
Uniform,PDF,64,SCALAR,1.208000
Uniform,PDF,64,VECTORIZED,0.042000
Uniform,PDF,64,PARALLEL,0.042000
Uniform,PDF,64,WORK_STEALING,0.042000
Uniform,LogPDF,64,SCALAR,1.250000
Uniform,LogPDF,64,VECTORIZED,0.042000
Uniform,LogPDF,64,PARALLEL,0.042000
Uniform,LogPDF,64,WORK_STEALING,0.042000
Uniform,CDF,64,SCALAR,1.250000
Uniform,CDF,64,VECTORIZED,0.125000
Uniform,CDF,64,PARALLEL,0.083000
Uniform,CDF,64,WORK_STEALING,0.083000
Uniform,PDF,128,SCALAR,2.458000
Uniform,PDF,128,VECTORIZED,0.042000
Uniform,PDF,128,PARALLEL,0.042000
Uniform,PDF,128,WORK_STEALING,0.042000
Uniform,LogPDF,128,SCALAR,2.541000
Uniform,LogPDF,128,VECTORIZED,0.042000
Uniform,LogPDF,128,PARALLEL,0.042000
Uniform,LogPDF,128,WORK_STEALING,0.042000
Uniform,CDF,128,SCALAR,2.417000
Uniform,CDF,128,VECTORIZED,0.167000
Uniform,CDF,128,PARALLEL,0.125000
Uniform,CDF,128,WORK_STEALING,0.125000
Uniform,PDF,256,SCALAR,5.042000
Uniform,PDF,256,VECTORIZED,0.042000
Uniform,PDF,256,PARALLEL,0.083000
Uniform,PDF,256,WORK_STEALING,0.083000
Uniform,LogPDF,256,SCALAR,5.041000
Uniform,LogPDF,256,VECTORIZED,0.083000
Uniform,LogPDF,256,PARALLEL,0.083000
Uniform,LogPDF,256,WORK_STEALING,0.083000
Uniform,CDF,256,SCALAR,5.084000
Uniform,CDF,256,VECTORIZED,0.333000
Uniform,CDF,256,PARALLEL,0.250000
Uniform,CDF,256,WORK_STEALING,0.208000
Uniform,PDF,512,SCALAR,10.250000
Uniform,PDF,512,VECTORIZED,0.125000
Uniform,PDF,512,PARALLEL,0.125000
Uniform,PDF,512,WORK_STEALING,0.125000
Uniform,LogPDF,512,SCALAR,10.250000
Uniform,LogPDF,512,VECTORIZED,0.125000
Uniform,LogPDF,512,PARALLEL,0.125000
Uniform,LogPDF,512,WORK_STEALING,0.125000
Uniform,CDF,512,SCALAR,10.084000
Uniform,CDF,512,VECTORIZED,0.625000
Uniform,CDF,512,PARALLEL,0.458000
Uniform,CDF,512,WORK_STEALING,0.375000
Uniform,PDF,1024,SCALAR,20.458000
Uniform,PDF,1024,VECTORIZED,0.208000
Uniform,PDF,1024,PARALLEL,0.792000
Uniform,PDF,1024,WORK_STEALING,0.250000
Uniform,LogPDF,1024,SCALAR,20.584000
Uniform,LogPDF,1024,VECTORIZED,0.208000
Uniform,LogPDF,1024,PARALLEL,0.834000
Uniform,LogPDF,1024,WORK_STEALING,0.208000
Uniform,CDF,1024,SCALAR,20.542000
Uniform,CDF,1024,VECTORIZED,1.166000
Uniform,CDF,1024,PARALLEL,1.042000
Uniform,CDF,1024,WORK_STEALING,0.750000
Uniform,PDF,2048,SCALAR,40.750000
Uniform,PDF,2048,VECTORIZED,0.375000
Uniform,PDF,2048,PARALLEL,39.083000
Uniform,PDF,2048,WORK_STEALING,12.250000
Uniform,LogPDF,2048,SCALAR,40.500000
Uniform,LogPDF,2048,VECTORIZED,0.375000
Uniform,LogPDF,2048,PARALLEL,39.583000
Uniform,LogPDF,2048,WORK_STEALING,16.750000
Uniform,CDF,2048,SCALAR,41.083000
Uniform,CDF,2048,VECTORIZED,2.167000
Uniform,CDF,2048,PARALLEL,35.084000
Uniform,CDF,2048,WORK_STEALING,9.917000
Uniform,PDF,4096,SCALAR,81.708000
Uniform,PDF,4096,VECTORIZED,0.750000
Uniform,PDF,4096,PARALLEL,75.209000
Uniform,PDF,4096,WORK_STEALING,10.583000
Uniform,LogPDF,4096,SCALAR,82.416000
Uniform,LogPDF,4096,VECTORIZED,0.709000
Uniform,LogPDF,4096,PARALLEL,50.875000
Uniform,LogPDF,4096,WORK_STEALING,11.417000
Uniform,CDF,4096,SCALAR,81.833000
Uniform,CDF,4096,VECTORIZED,4.500000
Uniform,CDF,4096,PARALLEL,61.250000
Uniform,CDF,4096,WORK_STEALING,12.042000
Uniform,PDF,6144,SCALAR,120.750000
Uniform,PDF,6144,VECTORIZED,1.083000
Uniform,PDF,6144,PARALLEL,84.666000
Uniform,PDF,6144,WORK_STEALING,14.250000
Uniform,LogPDF,6144,SCALAR,121.709000
Uniform,LogPDF,6144,VECTORIZED,1.083000
Uniform,LogPDF,6144,PARALLEL,94.917000
Uniform,LogPDF,6144,WORK_STEALING,13.291000
Uniform,CDF,6144,SCALAR,122.542000
Uniform,CDF,6144,VECTORIZED,6.667000
Uniform,CDF,6144,PARALLEL,81.167000
Uniform,CDF,6144,WORK_STEALING,13.708000
Uniform,PDF,8192,SCALAR,163.291000
Uniform,PDF,8192,VECTORIZED,1.417000
Uniform,PDF,8192,PARALLEL,123.625000
Uniform,PDF,8192,WORK_STEALING,16.041000
Uniform,LogPDF,8192,SCALAR,163.334000
Uniform,LogPDF,8192,VECTORIZED,1.417000
Uniform,LogPDF,8192,PARALLEL,104.500000
Uniform,LogPDF,8192,WORK_STEALING,16.250000
Uniform,CDF,8192,SCALAR,164.708000
Uniform,CDF,8192,VECTORIZED,26.459000
Uniform,CDF,8192,PARALLEL,56.000000
Uniform,CDF,8192,WORK_STEALING,17.083000
Uniform,PDF,10000,SCALAR,202.000000
Uniform,PDF,10000,VECTORIZED,1.750000
Uniform,PDF,10000,PARALLEL,128.333000
Uniform,PDF,10000,WORK_STEALING,20.291000
Uniform,LogPDF,10000,SCALAR,202.458000
Uniform,LogPDF,10000,VECTORIZED,1.709000
Uniform,LogPDF,10000,PARALLEL,91.167000
Uniform,LogPDF,10000,WORK_STEALING,23.208000
Uniform,CDF,10000,SCALAR,200.667000
Uniform,CDF,10000,VECTORIZED,20.875000
Uniform,CDF,10000,PARALLEL,47.000000
Uniform,CDF,10000,WORK_STEALING,25.583000
Uniform,PDF,25000,SCALAR,493.166000
Uniform,PDF,25000,VECTORIZED,4.584000
Uniform,PDF,25000,PARALLEL,52.541000
Uniform,PDF,25000,WORK_STEALING,34.417000
Uniform,LogPDF,25000,SCALAR,498.583000
Uniform,LogPDF,25000,VECTORIZED,4.708000
Uniform,LogPDF,25000,PARALLEL,58.625000
Uniform,LogPDF,25000,WORK_STEALING,35.000000
Uniform,CDF,25000,SCALAR,502.292000
Uniform,CDF,25000,VECTORIZED,103.333000
Uniform,CDF,25000,PARALLEL,58.458000
Uniform,CDF,25000,WORK_STEALING,37.875000
Uniform,PDF,50000,SCALAR,1005.541000
Uniform,PDF,50000,VECTORIZED,9.750000
Uniform,PDF,50000,PARALLEL,96.875000
Uniform,PDF,50000,WORK_STEALING,66.208000
Uniform,LogPDF,50000,SCALAR,1002.750000
Uniform,LogPDF,50000,VECTORIZED,9.125000
Uniform,LogPDF,50000,PARALLEL,77.208000
Uniform,LogPDF,50000,WORK_STEALING,68.042000
Uniform,CDF,50000,SCALAR,1018.833000
Uniform,CDF,50000,VECTORIZED,229.542000
Uniform,CDF,50000,PARALLEL,80.625000
Uniform,CDF,50000,WORK_STEALING,67.750000
Uniform,PDF,75000,SCALAR,1506.542000
Uniform,PDF,75000,VECTORIZED,13.709000
Uniform,PDF,75000,PARALLEL,113.375000
Uniform,PDF,75000,WORK_STEALING,95.333000
Uniform,LogPDF,75000,SCALAR,1506.583000
Uniform,LogPDF,75000,VECTORIZED,13.500000
Uniform,LogPDF,75000,PARALLEL,112.875000
Uniform,LogPDF,75000,WORK_STEALING,101.042000
Uniform,CDF,75000,SCALAR,1499.625000
Uniform,CDF,75000,VECTORIZED,359.792000
Uniform,CDF,75000,PARALLEL,142.542000
Uniform,CDF,75000,WORK_STEALING,124.584000
Uniform,PDF,100000,SCALAR,2010.291000
Uniform,PDF,100000,VECTORIZED,18.334000
Uniform,PDF,100000,PARALLEL,154.000000
Uniform,PDF,100000,WORK_STEALING,163.125000
Uniform,LogPDF,100000,SCALAR,2002.625000
Uniform,LogPDF,100000,VECTORIZED,18.167000
Uniform,LogPDF,100000,PARALLEL,150.208000
Uniform,LogPDF,100000,WORK_STEALING,152.917000
Uniform,CDF,100000,SCALAR,1986.958000
Uniform,CDF,100000,VECTORIZED,501.458000
Uniform,CDF,100000,PARALLEL,147.542000
Uniform,CDF,100000,WORK_STEALING,127.250000
Uniform,PDF,150000,SCALAR,3013.292000
Uniform,PDF,150000,VECTORIZED,26.875000
Uniform,PDF,150000,PARALLEL,193.000000
Uniform,PDF,150000,WORK_STEALING,184.000000
Uniform,LogPDF,150000,SCALAR,2972.125000
Uniform,LogPDF,150000,VECTORIZED,25.750000
Uniform,LogPDF,150000,PARALLEL,204.667000
Uniform,LogPDF,150000,WORK_STEALING,253.584000
Uniform,CDF,150000,SCALAR,3038.792000
Uniform,CDF,150000,VECTORIZED,738.916000
Uniform,CDF,150000,PARALLEL,222.625000
Uniform,CDF,150000,WORK_STEALING,231.125000
Uniform,PDF,200000,SCALAR,4161.041000
Uniform,PDF,200000,VECTORIZED,35.792000
Uniform,PDF,200000,PARALLEL,268.042000
Uniform,PDF,200000,WORK_STEALING,472.833000
Uniform,LogPDF,200000,SCALAR,3981.000000
Uniform,LogPDF,200000,VECTORIZED,35.833000
Uniform,LogPDF,200000,PARALLEL,264.875000
Uniform,LogPDF,200000,WORK_STEALING,333.250000
Uniform,CDF,200000,SCALAR,4012.042000
Uniform,CDF,200000,VECTORIZED,1001.959000
Uniform,CDF,200000,PARALLEL,274.750000
Uniform,CDF,200000,WORK_STEALING,451.750000
Uniform,PDF,250000,SCALAR,5035.625000
Uniform,PDF,250000,VECTORIZED,44.750000
Uniform,PDF,250000,PARALLEL,412.083000
Uniform,PDF,250000,WORK_STEALING,298.834000
Uniform,LogPDF,250000,SCALAR,5012.166000
Uniform,LogPDF,250000,VECTORIZED,45.000000
Uniform,LogPDF,250000,PARALLEL,306.791000
Uniform,LogPDF,250000,WORK_STEALING,303.709000
Uniform,CDF,250000,SCALAR,5018.834000
Uniform,CDF,250000,VECTORIZED,1266.667000
Uniform,CDF,250000,PARALLEL,341.875000
Uniform,CDF,250000,WORK_STEALING,319.333000
Uniform,PDF,300000,SCALAR,5964.958000
Uniform,PDF,300000,VECTORIZED,53.750000
Uniform,PDF,300000,PARALLEL,356.417000
Uniform,PDF,300000,WORK_STEALING,308.709000
Uniform,LogPDF,300000,SCALAR,5986.334000
Uniform,LogPDF,300000,VECTORIZED,52.000000
Uniform,LogPDF,300000,PARALLEL,355.375000
Uniform,LogPDF,300000,WORK_STEALING,341.667000
Uniform,CDF,300000,SCALAR,6015.375000
Uniform,CDF,300000,VECTORIZED,1556.125000
Uniform,CDF,300000,PARALLEL,381.291000
Uniform,CDF,300000,WORK_STEALING,395.792000
Uniform,PDF,400000,SCALAR,7947.291000
Uniform,PDF,400000,VECTORIZED,71.459000
Uniform,PDF,400000,PARALLEL,503.417000
Uniform,PDF,400000,WORK_STEALING,468.708000
Uniform,LogPDF,400000,SCALAR,7974.125000
Uniform,LogPDF,400000,VECTORIZED,72.042000
Uniform,LogPDF,400000,PARALLEL,517.166000
Uniform,LogPDF,400000,WORK_STEALING,524.291000
Uniform,CDF,400000,SCALAR,7987.458000
Uniform,CDF,400000,VECTORIZED,1970.709000
Uniform,CDF,400000,PARALLEL,509.750000
Uniform,CDF,400000,WORK_STEALING,489.250000
Uniform,PDF,500000,SCALAR,9871.208000
Uniform,PDF,500000,VECTORIZED,89.666000
Uniform,PDF,500000,PARALLEL,605.500000
Uniform,PDF,500000,WORK_STEALING,593.042000
Uniform,LogPDF,500000,SCALAR,9895.500000
Uniform,LogPDF,500000,VECTORIZED,89.042000
Uniform,LogPDF,500000,PARALLEL,580.750000
Uniform,LogPDF,500000,WORK_STEALING,618.708000
Uniform,CDF,500000,SCALAR,9945.084000
Uniform,CDF,500000,VECTORIZED,2534.709000
Uniform,CDF,500000,PARALLEL,541.375000
Uniform,CDF,500000,WORK_STEALING,564.209000
Gaussian,PDF,64,SCALAR,1.167000
Gaussian,PDF,64,VECTORIZED,0.167000
Gaussian,PDF,64,PARALLEL,0.208000
Gaussian,PDF,64,WORK_STEALING,0.208000
Gaussian,LogPDF,64,SCALAR,1.167000
Gaussian,LogPDF,64,VECTORIZED,0.083000
Gaussian,LogPDF,64,PARALLEL,0.042000
Gaussian,LogPDF,64,WORK_STEALING,0.042000
Gaussian,CDF,64,SCALAR,1.625000
Gaussian,CDF,64,VECTORIZED,0.166000
Gaussian,CDF,64,PARALLEL,0.708000
Gaussian,CDF,64,WORK_STEALING,0.791000
Gaussian,PDF,128,SCALAR,2.416000
Gaussian,PDF,128,VECTORIZED,0.292000
Gaussian,PDF,128,PARALLEL,0.375000
Gaussian,PDF,128,WORK_STEALING,0.375000
Gaussian,LogPDF,128,SCALAR,2.417000
Gaussian,LogPDF,128,VECTORIZED,0.125000
Gaussian,LogPDF,128,PARALLEL,0.042000
Gaussian,LogPDF,128,WORK_STEALING,0.042000
Gaussian,CDF,128,SCALAR,3.334000
Gaussian,CDF,128,VECTORIZED,0.291000
Gaussian,CDF,128,PARALLEL,1.417000
Gaussian,CDF,128,WORK_STEALING,1.458000
Gaussian,PDF,256,SCALAR,4.625000
Gaussian,PDF,256,VECTORIZED,0.500000
Gaussian,PDF,256,PARALLEL,0.709000
Gaussian,PDF,256,WORK_STEALING,0.708000
Gaussian,LogPDF,256,SCALAR,4.875000
Gaussian,LogPDF,256,VECTORIZED,0.208000
Gaussian,LogPDF,256,PARALLEL,0.042000
Gaussian,LogPDF,256,WORK_STEALING,0.083000
Gaussian,CDF,256,SCALAR,6.667000
Gaussian,CDF,256,VECTORIZED,0.542000
Gaussian,CDF,256,PARALLEL,2.833000
Gaussian,CDF,256,WORK_STEALING,2.792000
Gaussian,PDF,512,SCALAR,9.583000
Gaussian,PDF,512,VECTORIZED,0.959000
Gaussian,PDF,512,PARALLEL,1.375000
Gaussian,PDF,512,WORK_STEALING,1.375000
Gaussian,LogPDF,512,SCALAR,9.791000
Gaussian,LogPDF,512,VECTORIZED,0.334000
Gaussian,LogPDF,512,PARALLEL,0.084000
Gaussian,LogPDF,512,WORK_STEALING,0.084000
Gaussian,CDF,512,SCALAR,13.292000
Gaussian,CDF,512,VECTORIZED,1.041000
Gaussian,CDF,512,PARALLEL,5.375000
Gaussian,CDF,512,WORK_STEALING,5.542000
Gaussian,PDF,1024,SCALAR,19.125000
Gaussian,PDF,1024,VECTORIZED,1.833000
Gaussian,PDF,1024,PARALLEL,2.750000
Gaussian,PDF,1024,WORK_STEALING,2.750000
Gaussian,LogPDF,1024,SCALAR,19.417000
Gaussian,LogPDF,1024,VECTORIZED,0.583000
Gaussian,LogPDF,1024,PARALLEL,0.166000
Gaussian,LogPDF,1024,WORK_STEALING,0.166000
Gaussian,CDF,1024,SCALAR,26.500000
Gaussian,CDF,1024,VECTORIZED,2.041000
Gaussian,CDF,1024,PARALLEL,11.041000
Gaussian,CDF,1024,WORK_STEALING,11.000000
Gaussian,PDF,2048,SCALAR,38.125000
Gaussian,PDF,2048,VECTORIZED,3.542000
Gaussian,PDF,2048,PARALLEL,25.166000
Gaussian,PDF,2048,WORK_STEALING,10.625000
Gaussian,LogPDF,2048,SCALAR,38.833000
Gaussian,LogPDF,2048,VECTORIZED,1.166000
Gaussian,LogPDF,2048,PARALLEL,27.209000
Gaussian,LogPDF,2048,WORK_STEALING,6.833000
Gaussian,CDF,2048,SCALAR,53.209000
Gaussian,CDF,2048,VECTORIZED,3.833000
Gaussian,CDF,2048,PARALLEL,39.541000
Gaussian,CDF,2048,WORK_STEALING,17.916000
Gaussian,PDF,4096,SCALAR,76.083000
Gaussian,PDF,4096,VECTORIZED,7.000000
Gaussian,PDF,4096,PARALLEL,59.250000
Gaussian,PDF,4096,WORK_STEALING,19.542000
Gaussian,LogPDF,4096,SCALAR,77.667000
Gaussian,LogPDF,4096,VECTORIZED,2.291000
Gaussian,LogPDF,4096,PARALLEL,41.875000
Gaussian,LogPDF,4096,WORK_STEALING,9.292000
Gaussian,CDF,4096,SCALAR,107.125000
Gaussian,CDF,4096,VECTORIZED,7.500000
Gaussian,CDF,4096,PARALLEL,37.209000
Gaussian,CDF,4096,WORK_STEALING,22.958000
Gaussian,PDF,6144,SCALAR,115.750000
Gaussian,PDF,6144,VECTORIZED,10.417000
Gaussian,PDF,6144,PARALLEL,75.042000
Gaussian,PDF,6144,WORK_STEALING,15.250000
Gaussian,LogPDF,6144,SCALAR,116.625000
Gaussian,LogPDF,6144,VECTORIZED,3.250000
Gaussian,LogPDF,6144,PARALLEL,85.042000
Gaussian,LogPDF,6144,WORK_STEALING,30.875000
Gaussian,CDF,6144,SCALAR,159.583000
Gaussian,CDF,6144,VECTORIZED,11.292000
Gaussian,CDF,6144,PARALLEL,70.334000
Gaussian,CDF,6144,WORK_STEALING,43.166000
Gaussian,PDF,8192,SCALAR,153.292000
Gaussian,PDF,8192,VECTORIZED,14.584000
Gaussian,PDF,8192,PARALLEL,80.833000
Gaussian,PDF,8192,WORK_STEALING,17.500000
Gaussian,LogPDF,8192,SCALAR,154.750000
Gaussian,LogPDF,8192,VECTORIZED,4.875000
Gaussian,LogPDF,8192,PARALLEL,87.583000
Gaussian,LogPDF,8192,WORK_STEALING,17.375000
Gaussian,CDF,8192,SCALAR,212.458000
Gaussian,CDF,8192,VECTORIZED,15.250000
Gaussian,CDF,8192,PARALLEL,111.333000
Gaussian,CDF,8192,WORK_STEALING,31.083000
Gaussian,PDF,10000,SCALAR,188.292000
Gaussian,PDF,10000,VECTORIZED,18.167000
Gaussian,PDF,10000,PARALLEL,94.708000
Gaussian,PDF,10000,WORK_STEALING,19.416000
Gaussian,LogPDF,10000,SCALAR,189.208000
Gaussian,LogPDF,10000,VECTORIZED,6.500000
Gaussian,LogPDF,10000,PARALLEL,116.542000
Gaussian,LogPDF,10000,WORK_STEALING,23.959000
Gaussian,CDF,10000,SCALAR,259.208000
Gaussian,CDF,10000,VECTORIZED,18.709000
Gaussian,CDF,10000,PARALLEL,90.167000
Gaussian,CDF,10000,WORK_STEALING,77.542000
Gaussian,PDF,25000,SCALAR,468.083000
Gaussian,PDF,25000,VECTORIZED,43.209000
Gaussian,PDF,25000,PARALLEL,97.916000
Gaussian,PDF,25000,WORK_STEALING,27.792000
Gaussian,LogPDF,25000,SCALAR,470.792000
Gaussian,LogPDF,25000,VECTORIZED,13.959000
Gaussian,LogPDF,25000,PARALLEL,68.333000
Gaussian,LogPDF,25000,WORK_STEALING,13.208000
Gaussian,CDF,25000,SCALAR,646.125000
Gaussian,CDF,25000,VECTORIZED,46.417000
Gaussian,CDF,25000,PARALLEL,105.833000
Gaussian,CDF,25000,WORK_STEALING,99.750000
Gaussian,PDF,50000,SCALAR,937.917000
Gaussian,PDF,50000,VECTORIZED,87.541000
Gaussian,PDF,50000,PARALLEL,91.042000
Gaussian,PDF,50000,WORK_STEALING,58.375000
Gaussian,LogPDF,50000,SCALAR,948.333000
Gaussian,LogPDF,50000,VECTORIZED,27.458000
Gaussian,LogPDF,50000,PARALLEL,118.542000
Gaussian,LogPDF,50000,WORK_STEALING,30.917000
Gaussian,CDF,50000,SCALAR,1297.250000
Gaussian,CDF,50000,VECTORIZED,92.291000
Gaussian,CDF,50000,PARALLEL,189.042000
Gaussian,CDF,50000,WORK_STEALING,151.500000
Gaussian,PDF,75000,SCALAR,1403.750000
Gaussian,PDF,75000,VECTORIZED,129.208000
Gaussian,PDF,75000,PARALLEL,94.167000
Gaussian,PDF,75000,WORK_STEALING,62.417000
Gaussian,LogPDF,75000,SCALAR,1413.417000
Gaussian,LogPDF,75000,VECTORIZED,41.750000
Gaussian,LogPDF,75000,PARALLEL,119.125000
Gaussian,LogPDF,75000,WORK_STEALING,26.000000
Gaussian,CDF,75000,SCALAR,1953.250000
Gaussian,CDF,75000,VECTORIZED,138.667000
Gaussian,CDF,75000,PARALLEL,268.625000
Gaussian,CDF,75000,WORK_STEALING,273.583000
Gaussian,PDF,100000,SCALAR,1874.917000
Gaussian,PDF,100000,VECTORIZED,173.084000
Gaussian,PDF,100000,PARALLEL,121.292000
Gaussian,PDF,100000,WORK_STEALING,80.416000
Gaussian,LogPDF,100000,SCALAR,1885.375000
Gaussian,LogPDF,100000,VECTORIZED,54.917000
Gaussian,LogPDF,100000,PARALLEL,42.625000
Gaussian,LogPDF,100000,WORK_STEALING,35.458000
Gaussian,CDF,100000,SCALAR,2596.500000
Gaussian,CDF,100000,VECTORIZED,184.833000
Gaussian,CDF,100000,PARALLEL,309.375000
Gaussian,CDF,100000,WORK_STEALING,286.875000
Gaussian,PDF,150000,SCALAR,2832.250000
Gaussian,PDF,150000,VECTORIZED,258.834000
Gaussian,PDF,150000,PARALLEL,141.083000
Gaussian,PDF,150000,WORK_STEALING,120.208000
Gaussian,LogPDF,150000,SCALAR,2834.625000
Gaussian,LogPDF,150000,VECTORIZED,81.125000
Gaussian,LogPDF,150000,PARALLEL,113.458000
Gaussian,LogPDF,150000,WORK_STEALING,71.583000
Gaussian,CDF,150000,SCALAR,3896.583000
Gaussian,CDF,150000,VECTORIZED,277.625000
Gaussian,CDF,150000,PARALLEL,454.167000
Gaussian,CDF,150000,WORK_STEALING,484.292000
Gaussian,PDF,200000,SCALAR,3763.042000
Gaussian,PDF,200000,VECTORIZED,350.416000
Gaussian,PDF,200000,PARALLEL,156.583000
Gaussian,PDF,200000,WORK_STEALING,198.125000
Gaussian,LogPDF,200000,SCALAR,3783.666000
Gaussian,LogPDF,200000,VECTORIZED,111.542000
Gaussian,LogPDF,200000,PARALLEL,108.125000
Gaussian,LogPDF,200000,WORK_STEALING,115.250000
Gaussian,CDF,200000,SCALAR,5197.000000
Gaussian,CDF,200000,VECTORIZED,369.833000
Gaussian,CDF,200000,PARALLEL,615.000000
Gaussian,CDF,200000,WORK_STEALING,651.791000
Gaussian,PDF,250000,SCALAR,4690.041000
Gaussian,PDF,250000,VECTORIZED,447.458000
Gaussian,PDF,250000,PARALLEL,224.458000
Gaussian,PDF,250000,WORK_STEALING,243.667000
Gaussian,LogPDF,250000,SCALAR,4730.125000
Gaussian,LogPDF,250000,VECTORIZED,144.667000
Gaussian,LogPDF,250000,PARALLEL,107.250000
Gaussian,LogPDF,250000,WORK_STEALING,109.959000
Gaussian,CDF,250000,SCALAR,6492.750000
Gaussian,CDF,250000,VECTORIZED,466.542000
Gaussian,CDF,250000,PARALLEL,761.541000
Gaussian,CDF,250000,WORK_STEALING,720.917000
Gaussian,PDF,300000,SCALAR,5727.458000
Gaussian,PDF,300000,VECTORIZED,547.667000
Gaussian,PDF,300000,PARALLEL,223.000000
Gaussian,PDF,300000,WORK_STEALING,232.708000
Gaussian,LogPDF,300000,SCALAR,5730.250000
Gaussian,LogPDF,300000,VECTORIZED,184.875000
Gaussian,LogPDF,300000,PARALLEL,43.166000
Gaussian,LogPDF,300000,WORK_STEALING,78.542000
Gaussian,CDF,300000,SCALAR,7791.542000
Gaussian,CDF,300000,VECTORIZED,585.375000
Gaussian,CDF,300000,PARALLEL,881.416000
Gaussian,CDF,300000,WORK_STEALING,947.167000
Gaussian,PDF,400000,SCALAR,7520.875000
Gaussian,PDF,400000,VECTORIZED,748.666000
Gaussian,PDF,400000,PARALLEL,358.583000
Gaussian,PDF,400000,WORK_STEALING,341.958000
Gaussian,LogPDF,400000,SCALAR,7562.459000
Gaussian,LogPDF,400000,VECTORIZED,260.708000
Gaussian,LogPDF,400000,PARALLEL,77.917000
Gaussian,LogPDF,400000,WORK_STEALING,161.042000
Gaussian,CDF,400000,SCALAR,10452.875000
Gaussian,CDF,400000,VECTORIZED,804.625000
Gaussian,CDF,400000,PARALLEL,1153.709000
Gaussian,CDF,400000,WORK_STEALING,2246.250000
Gaussian,PDF,500000,SCALAR,9394.458000
Gaussian,PDF,500000,VECTORIZED,969.334000
Gaussian,PDF,500000,PARALLEL,416.292000
Gaussian,PDF,500000,WORK_STEALING,422.000000
Gaussian,LogPDF,500000,SCALAR,9468.917000
Gaussian,LogPDF,500000,VECTORIZED,349.500000
Gaussian,LogPDF,500000,PARALLEL,118.375000
Gaussian,LogPDF,500000,WORK_STEALING,204.167000
Gaussian,CDF,500000,SCALAR,13012.500000
Gaussian,CDF,500000,VECTORIZED,1001.833000
Gaussian,CDF,500000,PARALLEL,1440.750000
Gaussian,CDF,500000,WORK_STEALING,1340.125000
Exponential,PDF,64,SCALAR,1.208000
Exponential,PDF,64,VECTORIZED,0.167000
Exponential,PDF,64,PARALLEL,0.208000
Exponential,PDF,64,WORK_STEALING,0.208000
Exponential,LogPDF,64,SCALAR,1.208000
Exponential,LogPDF,64,VECTORIZED,0.083000
Exponential,LogPDF,64,PARALLEL,0.042000
Exponential,LogPDF,64,WORK_STEALING,0.042000
Exponential,CDF,64,SCALAR,1.250000
Exponential,CDF,64,VECTORIZED,0.208000
Exponential,CDF,64,PARALLEL,0.208000
Exponential,CDF,64,WORK_STEALING,0.209000
Exponential,PDF,128,SCALAR,2.458000
Exponential,PDF,128,VECTORIZED,0.291000
Exponential,PDF,128,PARALLEL,0.375000
Exponential,PDF,128,WORK_STEALING,0.375000
Exponential,LogPDF,128,SCALAR,2.458000
Exponential,LogPDF,128,VECTORIZED,0.125000
Exponential,LogPDF,128,PARALLEL,0.042000
Exponential,LogPDF,128,WORK_STEALING,0.042000
Exponential,CDF,128,SCALAR,2.459000
Exponential,CDF,128,VECTORIZED,0.333000
Exponential,CDF,128,PARALLEL,0.417000
Exponential,CDF,128,WORK_STEALING,0.375000
Exponential,PDF,256,SCALAR,4.625000
Exponential,PDF,256,VECTORIZED,0.542000
Exponential,PDF,256,PARALLEL,0.709000
Exponential,PDF,256,WORK_STEALING,0.708000
Exponential,LogPDF,256,SCALAR,4.875000
Exponential,LogPDF,256,VECTORIZED,0.250000
Exponential,LogPDF,256,PARALLEL,0.042000
Exponential,LogPDF,256,WORK_STEALING,0.042000
Exponential,CDF,256,SCALAR,4.875000
Exponential,CDF,256,VECTORIZED,0.583000
Exponential,CDF,256,PARALLEL,0.709000
Exponential,CDF,256,WORK_STEALING,0.750000
Exponential,PDF,512,SCALAR,9.625000
Exponential,PDF,512,VECTORIZED,1.042000
Exponential,PDF,512,PARALLEL,1.417000
Exponential,PDF,512,WORK_STEALING,1.417000
Exponential,LogPDF,512,SCALAR,9.791000
Exponential,LogPDF,512,VECTORIZED,0.416000
Exponential,LogPDF,512,PARALLEL,0.084000
Exponential,LogPDF,512,WORK_STEALING,0.084000
Exponential,CDF,512,SCALAR,9.708000
Exponential,CDF,512,VECTORIZED,1.125000
Exponential,CDF,512,PARALLEL,1.417000
Exponential,CDF,512,WORK_STEALING,1.417000
Exponential,PDF,1024,SCALAR,19.208000
Exponential,PDF,1024,VECTORIZED,1.875000
Exponential,PDF,1024,PARALLEL,2.917000
Exponential,PDF,1024,WORK_STEALING,2.791000
Exponential,LogPDF,1024,SCALAR,19.500000
Exponential,LogPDF,1024,VECTORIZED,0.750000
Exponential,LogPDF,1024,PARALLEL,0.584000
Exponential,LogPDF,1024,WORK_STEALING,0.167000
Exponential,CDF,1024,SCALAR,19.375000
Exponential,CDF,1024,VECTORIZED,2.166000
Exponential,CDF,1024,PARALLEL,3.125000
Exponential,CDF,1024,WORK_STEALING,2.750000
Exponential,PDF,2048,SCALAR,38.541000
Exponential,PDF,2048,VECTORIZED,3.875000
Exponential,PDF,2048,PARALLEL,40.125000
Exponential,PDF,2048,WORK_STEALING,8.500000
Exponential,LogPDF,2048,SCALAR,39.083000
Exponential,LogPDF,2048,VECTORIZED,1.458000
Exponential,LogPDF,2048,PARALLEL,24.083000
Exponential,LogPDF,2048,WORK_STEALING,7.916000
